Stock,Date,Open,High,Low,Close,Adj Close,Volume
SAVE,12/1/2020,22.719999,27.48,22.18,24.450001,23.211493,158654500
SAVE,1/1/2021,24.75,27.959999,22.870001,25.940001,24.626017,91630900
SAVE,2/1/2021,26.26,39.139999,25.68,35.880001,34.062511,121829500
SAVE,3/1/2021,37.25,40.77,31.35,36.900002,35.030842,102880200
SAVE,4/1/2021,36.509998,39.189999,33.709999,35.82,34.005543,87471100
SAVE,5/1/2021,36.150002,36.779999,32.029999,35.709999,33.901119,58860800
SAVE,6/1/2021,35.950001,37.189999,30.370001,30.440001,28.898071,73433600
SAVE,7/1/2021,30.780001,31.469999,24.620001,26.98,25.613333,82662800
SAVE,8/1/2021,27.17,28.17,22.700001,24.530001,23.287437,102099900
SAVE,9/1/2021,24.719999,27.82,23.790001,25.940001,24.626017,77820300
SAVE,10/1/2021,26.4,27.59,21.790001,21.85,20.743191,96639800
SAVE,11/1/2021,21.889999,25.379999,19.52,20.91,19.850807,100929500
SAVE,12/1/2021,21.66,24.27,20.02,21.85,20.743191,109867700
SAVE,1/1/2022,22,24.120001,19.4,21.469999,20.382444,114798600
SAVE,2/1/2022,21.5,28.299999,21.02,25.08,23.80958,141558600
SAVE,3/1/2022,24.719999,25.129999,18.26,21.870001,20.762182,109662200
SAVE,4/1/2022,22.01,27.879999,20.959999,23.610001,22.414042,96203500
SAVE,5/1/2022,21.93,22.790001,15.92,20.950001,19.888781,112079100
SAVE,6/1/2022,20.950001,24.690001,20.059999,23.84,22.632385,85943300
SAVE,7/1/2022,23.74,25.68,23.35,24.77,23.515284,50801200
SAVE,8/1/2022,24.65,25,22.57,22.68,21.531151,30450200
SAVE,9/1/2022,22.5,23.459999,18.6,18.82,17.866676,37519400
SAVE,10/1/2022,18.85,22.700001,18.01,22,20.885597,31101500
SAVE,11/1/2022,22.26,22.58,20.860001,21.709999,20.610285,13931800
SAVE,12/1/2022,21.639999,21.76,19.1,19.48,18.493244,13740400
SAVE,1/1/2023,19.629999,20.99,19.16,19.84,18.835011,18599900
SAVE,2/1/2023,19.85,20.24,18.27,18.32,17.47971,26451600
SAVE,3/1/2023,18.299999,18.450001,16.17,17.17,16.468277,62045800
SAVE,4/1/2023,17,17.75,16.75,17.1,16.498589,17796000
SAVE,5/1/2023,17.049999,17.07,14.41,15.21,14.759692,43335100
SAVE,6/1/2023,15.25,17.280001,15.11,17.16,16.76137,26589200
VLRS,7/1/2019,9.45,10.99,9.15,9.79,9.79,7561800
VLRS,8/1/2019,9.7,9.96,8.26,8.89,8.89,5395000
VLRS,9/1/2019,8.85,10.61,8.64,10.01,10.01,5882900
VLRS,10/1/2019,9.95,11.4,9.83,10.84,10.84,6183700
VLRS,11/1/2019,10.9,11.5,10.31,10.45,10.45,4871600
VLRS,12/1/2019,10.42,10.96,10.07,10.42,10.42,4145100
VLRS,1/1/2020,10.47,13.13,10.38,12.99,12.99,8146700
VLRS,2/1/2020,13,13.45,9.86,10.05,10.05,7489100
VLRS,3/1/2020,10.02,10.49,2.96,3.43,3.43,15077000
VLRS,4/1/2020,3.34,5.26,2.94,4.91,4.91,13941500
VLRS,5/1/2020,4.77,5.58,3.76,5,5,7507600
VLRS,6/1/2020,5,7.13,4.85,5.28,5.28,15033100
VLRS,7/1/2020,5.3,5.63,4.79,5.53,5.53,6200700
VLRS,8/1/2020,5.51,8.41,5.21,8.08,8.08,7388400
VLRS,9/1/2020,8.06,8.98,6.33,7.21,7.21,6517400
VLRS,10/1/2020,7.5,9.24,7.29,7.88,7.88,9086900
VLRS,11/1/2020,7.93,11.19,7.76,10.46,10.46,7448300
VLRS,12/1/2020,10.61,13.48,10.44,12.42,12.42,17307100
VLRS,1/1/2021,12.42,12.61,10.62,11.28,11.28,6523200
VLRS,2/1/2021,11.37,16.389999,11.25,14.88,14.88,9938300
VLRS,3/1/2021,15.33,16.780001,13.18,14.26,14.26,15376400
VLRS,4/1/2021,14.33,16.940001,14.33,16.27,16.27,9191100
VLRS,5/1/2021,16.440001,18.73,15.83,17.25,17.25,10448600
VLRS,6/1/2021,17.459999,19.43,16.459999,19.209999,19.209999,18643500
VLRS,7/1/2021,19.299999,23.58,19.26,22.08,22.08,18152000
VLRS,8/1/2021,22.34,22.700001,17.4,19.870001,19.870001,15994300
VLRS,9/1/2021,19.879999,23.32,19.440001,21.809999,21.809999,12465700
VLRS,10/1/2021,22.07,22.549999,17.610001,18.1,18.1,13562400
VLRS,11/1/2021,18.26,18.93,14.24,14.82,14.82,16261000
VLRS,12/1/2021,15.15,18.17,14.51,17.969999,17.969999,10956300
VLRS,1/1/2022,17.959999,19.9,16.18,17.83,17.83,10694500
VLRS,2/1/2022,17.99,21.23,17.27,19.09,19.09,13132200
VLRS,3/1/2022,19.09,19.09,13.47,18.190001,18.190001,20448200
VLRS,4/1/2022,18.27,19.57,15.89,15.92,15.92,10623800
VLRS,5/1/2022,15.86,16.18,12.4,15.58,15.58,8293900
VLRS,6/1/2022,15.66,15.69,9.24,10.27,10.27,14853600
VLRS,7/1/2022,10.14,10.4,8.67,9.7,9.7,13017200
VLRS,8/1/2022,9.59,11.49,8.86,8.88,8.88,14131600
VLRS,9/1/2022,8.74,9.99,6.98,6.99,6.99,14822700
VLRS,10/1/2022,7.14,8.76,6.86,8.38,8.38,9202200
VLRS,11/1/2022,8.52,10.85,7.84,9.98,9.98,9562000
VLRS,12/1/2022,10.05,10.33,7.94,8.36,8.36,11850700
VLRS,1/1/2023,8.36,11.65,7.78,11.08,11.08,8166300
VLRS,2/1/2023,11.2,11.97,10.84,11.72,11.72,7478200
VLRS,3/1/2023,11.7,12.58,9.98,12.44,12.44,8696300
VLRS,4/1/2023,12.18,12.65,10.45,11.76,11.76,5829700
VLRS,5/1/2023,11.67,14.36,11.22,13.8,13.8,6544300
VLRS,6/1/2023,13.8,15.05,13.6,13.95,13.95,5747400
GOL,7/1/2019,17.18,22.360001,16.209999,21.48,21.48,32308000
GOL,8/1/2019,21.780001,23.299999,15.37,16.07,16.07,34607200
GOL,9/1/2019,15.58,18.059999,15.06,15.47,15.47,19260000
GOL,10/1/2019,15.31,19.360001,14.43,18.17,18.17,17256400
GOL,11/1/2019,18.5,18.629999,15.35,16.129999,16.129999,13996700
GOL,12/1/2019,15.99,18.49,15.88,18.07,18.07,13633300
GOL,1/1/2020,18.209999,18.73,15.63,16.030001,16.030001,17469800
GOL,2/1/2020,16.209999,17.33,10.91,11.33,11.33,23213000
GOL,3/1/2020,11.58,11.97,1.85,4.27,4.27,70004900
GOL,4/1/2020,3.84,5.09,3.36,4.61,4.61,37384000
GOL,5/1/2020,4.42,4.97,3.22,4.4,4.4,34913500
GOL,6/1/2020,4.63,10.27,4.59,6.78,6.78,84502400
GOL,7/1/2020,7.04,8.13,6.76,6.83,6.83,35303200
GOL,8/1/2020,6.71,7.43,5.95,6.52,6.52,29923100
GOL,9/1/2020,6.78,8.4,5.84,6.1,6.1,28768600
GOL,10/1/2020,6.27,7.37,5.38,5.47,5.47,29497000
GOL,11/1/2020,5.58,9.33,5.36,8.83,8.83,37871100
GOL,12/1/2020,9.05,11.31,8.88,9.82,9.82,27625800
GOL,1/1/2021,9.67,9.68,7.82,8.67,8.67,26384100
GOL,2/1/2021,8.88,9.74,7.72,7.76,7.76,23738200
GOL,3/1/2021,7.8,8.7,6.59,7.65,7.65,63352300
GOL,4/1/2021,7.76,9.24,7.57,8.6,8.6,34652200
GOL,5/1/2021,8.66,10.49,8.3,10.24,10.24,27610500
GOL,6/1/2021,10.5,11.43,9.13,9.22,9.22,42677700
GOL,7/1/2021,9.28,9.46,7.74,7.88,7.88,31620300
GOL,8/1/2021,8.01,8.15,6.18,7.79,7.79,31882700
GOL,9/1/2021,7.71,8.38,6.95,7.63,7.63,28691100
GOL,10/1/2021,7.92,8.21,5.43,5.47,5.47,38478100
GOL,11/1/2021,5.63,6.97,5.2,5.63,5.63,49269300
GOL,12/1/2021,5.77,7.12,5.14,6.05,6.05,56435500
GOL,1/1/2022,5.99,6.99,5.18,6.99,6.99,40359400
GOL,2/1/2022,6.9,7.75,6.34,6.53,6.53,35815000
GOL,3/1/2022,6.46,7.59,4.78,7.2,7.2,55814000
GOL,4/1/2022,7.5,7.94,5.8,6.07,6.07,34931900
GOL,5/1/2022,5.97,6.59,4.83,6.09,6.09,44832300
GOL,6/1/2022,6.15,6.16,3.32,3.41,3.41,54946900
GOL,7/1/2022,3.34,3.56,2.74,3.3,3.3,42170900
GOL,8/1/2022,3.22,4.76,3.17,3.82,3.82,43121500
GOL,9/1/2022,3.9,4.36,3.1,3.29,3.29,42972800
GOL,10/1/2022,3.5,4.14,3.01,3.7,3.7,31679800
GOL,11/1/2022,3.67,4.04,2.92,3.29,3.29,33407300
GOL,12/1/2022,3.21,3.27,2.32,2.67,2.67,32624000
GOL,1/1/2023,2.69,3.33,2.42,3.04,3.04,22735900
GOL,2/1/2023,2.95,3.45,2.16,2.16,2.16,32703700
GOL,3/1/2023,2.19,3.29,2,2.63,2.63,47213400
GOL,4/1/2023,2.59,2.98,2.32,2.68,2.68,21678600
GOL,5/1/2023,2.67,3.38,2.56,3.22,3.22,22038300
GOL,6/1/2023,3.27,5.48,3.22,5.46,5.46,37595400
AZUL,7/1/2019,34,42.439999,32.32,40.700001,40.700001,11970500
AZUL,8/1/2019,40.66,43.136002,32.310001,35.119999,35.119999,11635200
AZUL,9/1/2019,34.119999,38.84,32.810001,35.82,35.82,11689300
AZUL,10/1/2019,35.91,40.16,33.75,38.98,38.98,10915400
AZUL,11/1/2019,39.25,40.549999,34.150002,37.240002,37.240002,9758900
AZUL,12/1/2019,37.43,43.799999,37.310001,42.799999,42.799999,7938100
AZUL,1/1/2020,43.610001,44.549999,40.23,41.5,41.5,8739800
AZUL,2/1/2020,42.139999,43.75,28.344999,29.5,29.5,10069300
AZUL,3/1/2020,30.309999,31.1,5.3,10.19,10.19,40607000
AZUL,4/1/2020,9.17,10.43,7.12,9.56,9.56,32930100
AZUL,5/1/2020,9.05,9.108,5.6,7.98,7.98,57238700
AZUL,6/1/2020,8.16,18.280001,8.06,11.18,11.18,150941500
AZUL,7/1/2020,11.36,12.77,11.23,11.54,11.54,37893000
AZUL,8/1/2020,11.39,13.49,10.97,12.15,12.15,44239800
AZUL,9/1/2020,12.37,16.98,12.28,13.16,13.16,56004400
AZUL,10/1/2020,13.48,14.719,11.16,11.85,11.85,45393300
AZUL,11/1/2020,12.09,22.77,11.63,21.27,21.27,49053200
AZUL,12/1/2020,22.18,25.84,20.18,22.82,22.82,29210200
AZUL,1/1/2021,22.77,23.68,19.719999,21.950001,21.950001,31803600
